Time (s),Total Energy (J),Average Power (W)
13.4793,114.1616411959435,8.4694
13.5919,112.05369317101565,8.24415
13.631,112.90902750462419,8.28325
13.595,113.09755262443628,8.31905
13.6788,113.52627731189068,8.29943
13.6176,113.0231890282846,8.29979
13.5324,112.34215071989297,8.30172
13.6696,112.70056325369569,8.24461
13.5947,112.31661228975827,8.26179
13.5765,112.51528436138597,8.2875
13.5877,113.40085229982299,8.34585
13.5937,112.72025223446212,8.2921
13.5498,112.79085187255635,8.32417
13.5532,112.42556741929923,8.29513
13.5279,112.00631447565434,8.27965
13.6197,112.51458274027914,8.26116
13.6559,112.34229373183018,8.22665
13.616,112.61400897729197,8.27071
13.5933,112.67389916892125,8.28893
13.5077,112.36870549250034,8.31886
13.6448,111.85813491158297,8.19786
13.5716,112.2816802000865,8.27328
13.5341,112.22341015607742,8.2919
13.6257,112.01701132694734,8.22101
13.6208,112.28641160681991,8.24375
13.6199,112.3951302959706,8.25227
13.561,111.68841339291635,8.236
13.5708,112.05543177911966,8.2571
13.6224,112.20615039651727,8.23689
13.696,112.8226590670838,8.23764
13.572,112.4926327202246,8.28858
13.6523,112.44141378193831,8.23608
13.5327,112.82310225056574,8.33707
13.6576,112.31128192454037,8.22335
13.5699,112.54417738723748,8.29366
13.5623,111.96020233817251,8.25525
13.5172,111.53896919049907,8.25163
13.6167,112.30322962043238,8.24746
13.5964,112.14044815537648,8.2478
13.541,112.17309886881287,8.28396
13.5638,111.9327153818117,8.25231
13.5802,111.71154662663105,8.22606
13.5934,112.58357024264876,8.28222
13.6007,111.78049005302023,8.21873
13.6251,112.41817119921075,8.25081
13.5723,112.23464463001505,8.26939
13.624,112.55230567382455,8.26133
13.6801,112.36014271724127,8.2134
13.6075,112.28753688167603,8.25189
13.5128,112.31278434442515,8.31158
13.5957,111.96821081703922,8.23556
13.5635,111.56891421238856,8.22567
13.6551,112.41952199136836,8.23279
13.5593,112.22596568727874,8.27668
13.5929,111.86688121876341,8.2298
13.6357,112.2842133938542,8.23458
13.6556,113.59662111698981,8.31868
13.598,111.84471702545682,8.22509
13.5734,112.00813893336556,8.25203
13.582,112.95868735641807,8.31679
13.6647,113.2505689990154,8.28782
13.6535,113.02036735173795,8.27776
13.6021,112.06128073053378,8.23853
13.4632,113.52289760098881,8.43209
13.4527,113.6541287304891,8.44843
13.5628,111.67845713868496,8.23417
13.5471,111.4451672598907,8.2265
13.554,112.67502789646198,8.31305
13.5367,111.97662390089795,8.27208
13.6008,111.7707407207896,8.21795
13.6088,112.35497332662646,8.25605
13.6012,111.91494170374278,8.22831
13.7049,113.00791616024458,8.2458
13.5768,112.1679168192544,8.26173
13.6824,112.58625862441784,8.22855
13.5867,112.48619756829885,8.27914
13.5343,111.41960260449343,8.23239
13.5456,112.9118632251558,8.33569
13.5532,111.57165844064843,8.23213
13.5878,112.37610603314567,8.27037
13.5828,112.71145841980933,8.2981
13.5277,111.90829016184443,8.27253
13.5245,111.97832094710316,8.27966
13.61,112.53594592393506,8.26862
13.5813,111.84092360372074,8.23492
13.5401,112.53324243657528,8.31111
13.5654,112.46826820115541,8.29082
13.5573,112.3185008041138,8.28472
13.6217,111.81084768049323,8.20829
13.713,113.87341986187789,8.30405
13.5601,111.42671901624965,8.21725
13.583,112.79919292081104,8.30444
13.556,112.12646091442423,8.27135
13.5968,113.40650201989695,8.34068
13.6012,111.6006142377613,8.2052
13.546,111.91787021465245,8.26206
13.5601,111.50793479749575,8.22324
13.5928,111.77042614695426,8.22277
13.6005,113.16133439020086,8.32038
13.5714,111.51952746274856,8.21725
